Chemical_Name,Skin_Type,Description
"kaolin', 'glycerin',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"lactic acid',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"lactic acid',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycolic acid',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"propylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"maris aqua',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"lactic acid',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"alcohol denat',",Combination Skin,"An alpha hydroxy acid (AHA) that helps to exfoliate and brighten the skin, suitable for oily and combination skin types."
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"peg-32', 'cellulose',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cyclomethicone', 'ascorbic",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"butylene glycol',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycolic acid',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycolic acid',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"lactic acid',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cellulose', 'propanediol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'coco-caprylate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"dimethicon', 'citric",Normal Skin,"A salt form of hyaluronic acid, it helps to hydrate and plump the skin. Suitable for dry and combination skin types."
"alcohol denat',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'lactic",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cetearyl alcohol',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'lactobionic",Combination Skin,"An emollient and thickening agent that can hydrate dry skin, but may be comedogenic for oily skin types."
punica granatum,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycolic acid',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'butylene",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"lactic acid',",Dry Skin,"Lactic Acid is an alpha hydroxy acid (AHA) that gently exfoliates and hydrates the skin, suitable for dry skin types."
"titanium dioxide',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycolic acid',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'glycolic",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"niacinamide', 'cetyl",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"propanediol', 'polyglyceryl-6",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"paraffinum liquidum',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"petrolatum', 'dimethicon',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
persea gratissima,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'squalene',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"ethylhexyl palmitate',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
carthamus tinctorius,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"cyclopentasiloxane', 'isostearyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"water\\aqua\\eau ',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"propanediol', 'butyrospermum",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"isocetyl stearate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"hamamelis virginiana',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
persea gratissima,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"propylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'dimethicon',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'ethylhexyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'carbomer',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'hamamelis",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"ethylhexyl methoxycinnamate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"water\\aqua\\eau ',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"dimethicon', 'glycerin',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"glycerin', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cyclohexasiloxane', 'bifida",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'butyrospermum",Combination Skin,"An emollient and thickening agent that can hydrate dry skin, but may be comedogenic for oily skin types."
"dimethicon', 'butylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"dicaprylyl carbonate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"butyrospermum parkii',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"dipropylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'butylene",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"butylene glycol',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'butylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"triethanolamine', 'sodium",Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
"rosa damascena',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"hexylane', 'glycol',",Dry Skin,"A soothing and moisturizing ingredient, beneficial for dry skin."
"dimethicon', 'glycerin',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"butyrospermum parkii',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'butyrospermum",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'butylene",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"cyclopentasiloxane', 'isohexadecane',",Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
"glycerin', 'coco-caprylate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
simmondsia chinensis,Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'butylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"dimethicon', 'glycerin',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"glycerin', 'prunus",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"paraffinum liquidum',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"mel', 'polyacrylamide',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'dimethicon',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
centaurea cyanus,Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"alcohol denat',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"dimethicon', 'glycerin',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"titanium dioxide',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"water ',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
ethylene/acrylic acid,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'butylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"sodium silicate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
aloe barbadenis,Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
"butylene glycol',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"methyl trimethicone',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"alcohol denat',",All Skin type,"Alcohol is used in skincare formulations as a solvent and penetration enhancer, suitable for all skin types in appropriate concentrations."
"propanediol', 'hydrogenated",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'butyrospermum",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"hydrogenated polyisobutene',",Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
"zinc oxide',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"dimethicon', 'cyclopentasiloxane',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
isocetyl stearoyl,Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"butylene glycol',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glyceryl stearate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"water\\aqua\\eau ',",Combination Skin,"A preservative commonly used in skincare products, suitable for oily and combination skin types."
"cetearyl alcohol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'dimethicon',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
galactomyces ferment,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"cyclopentasiloxane', 'isohexadecane',",Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
"glycerin', 'olea",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'polymethyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'butylene",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
aloe barbadenis,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"dimethicon', 'pentylene",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
aloe barbadenis,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"glycerin', 'alumina',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'decyl",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"pantethine', 'avena",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'dimethicon',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"dipropylene glycol',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"dimethicon', 'isododecane',",Normal Skin,"A salt form of hyaluronic acid, it helps to hydrate and plump the skin. Suitable for dry and combination skin types."
sodium magnesium,Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
aloe barbadenis,Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"rhamnose', 'glycerin',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"isopropyl palmitate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"silica', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'cetearyl",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"glycerin', 'cetearyl",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"squalene', 'coco-caprylate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'cocamidopropyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"sodium lauroyl',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'myristic",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
prunus amygdalus,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"cetyl ethylhexanoate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"ethylhexyl palmitate',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"decyl glucoside',",Dry Skin,"A natural sugar with moisturizing properties, beneficial for dry skin."
sodium laureth,Dry Skin,"A natural sugar with moisturizing properties, beneficial for dry skin."
vitis vinifera,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"ethylhexyl palmitate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
sodium laureth,Normal Skin,"A salt form of hyaluronic acid, it helps to hydrate and plump the skin. Suitable for dry and combination skin types."
"sodium lauroyl',",Combination Skin,"An emollient and thickening agent that can hydrate dry skin, but may be comedogenic for oily skin types."
sodium cocoyl,Combination Skin,"An emollient and thickening agent that can hydrate dry skin, but may be comedogenic for oily skin types."
"hexylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"hexylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
vitis vinifera,Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'cocamidopropyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"sodium lauroyl',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'peg-6",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"ethylhexyl palmitate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"lavandula angustifolia',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"sodium lauroyl',",Combination Skin,"An alpha hydroxy acid (AHA) that helps to exfoliate and brighten the skin, suitable for oily and combination skin types."
"sodium cocoamphoacetate',",Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
"glycerin', 'butylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"paraffinum liquidum',",All Skin type,"Alcohol is used in skincare formulations as a solvent and penetration enhancer, suitable for all skin types in appropriate concentrations."
"rosa damascena',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'sodium",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"sodium lauroamphoacetate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocamidopropyl betaine',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium laureth,Dry Skin,"A natural sugar with moisturizing properties, beneficial for dry skin."
"potassium myristate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"paraffinum liquidum',",Normal Skin,"A salt form of hyaluronic acid, it helps to hydrate and plump the skin. Suitable for dry and combination skin types."
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'peg-200",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
aloe barbadenis,Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
sodium laureth,Normal Skin,"A salt form of hyaluronic acid, it helps to hydrate and plump the skin. Suitable for dry and combination skin types."
"alcohol denat',",Combination Skin,"A pH adjuster used in skincare formulations, suitable for oily and combination skin types."
"cocamidopropyl betaine',",Combination Skin,"An alpha hydroxy acid (AHA) that helps to exfoliate and brighten the skin, suitable for oily and combination skin types."
"glycerin', 'disodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"squalene', 'glycerin',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cetearyl ethylhexanoate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
peg-7 capric,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
sodium laureth,Normal Skin,"A natural humectant that helps to maintain skin hydration, suitable for dry and combination skin types."
zea mays,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"methyl gluceth-10',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium c14-16,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
zea mays,Normal Skin,"A salt form of hyaluronic acid, it helps to hydrate and plump the skin. Suitable for dry and combination skin types."
glyceryl stearate,Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"glycerin', 'poloxamer",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"kaolin', 'glycerin',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
citrus aurantium,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"paraffinum liquidum',",All Skin type,"Alcohol is used in skincare formulations as a solvent and penetration enhancer, suitable for all skin types in appropriate concentrations."
aloe barbadenis,Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"glycerin', 'disodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"ethyl acetate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocamidopropyl hydroxysultaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"c12-15', 'capric",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
peg-12 methyl,Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"sodium lauroamphoacetate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"isopropyl palmitate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"paraffinum liquidum',",Dry Skin,A natural emollient that helps to hydrate and soften dry skin.
simmondsia chinensis,Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
sodium laureth,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"myristic acid',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cyclopentasiloxane', 'isohexadecane',",Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
"glycerin', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'cocamidopropyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"hexylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
aloe barbadenis,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocamidopropyl hydroxysultaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"paraffinum liquidum',",Dry Skin,A natural emollient that helps to hydrate and soften dry skin.
"sodium palmate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"disodium cocoamphodiacetate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
vitis vinifera,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"isostearyl palmitate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
sodium laureth,Dry Skin,"A natural sugar with moisturizing properties, beneficial for dry skin."
"glycerin', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
olea europaea,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"squalene', 'covo-caprylate/carpate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'chamomilla",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocamidopropyl betaine',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'stearic",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
sapindus mukurossi,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"hydrogenated polydecene',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
sodium laureth,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
disodium lauryl,Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"lauryl glucoside',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'peg-100",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"glycerin', 'jasminum",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
disodium lauryl,Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"sucrose', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"sodium palmate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
aloe barbadenis,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'propanediol',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"alcohol denat',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"sodium chloride',",Combination Skin,"Commonly known as salt, it may help to absorb excess oil from the skin, suitable for oily and combination skin types."
aloe barbadenis,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'propanediol',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"rosa damascena',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"parfum', 'peg-7",Combination Skin,"A preservative commonly used in skincare products, suitable for oily and combination skin types."
"glycerin', 'chamomilla",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"alcohol denat',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"alcohol denat',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"rosa damascena',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"propanediol', 'glycerin',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"rosa damascena',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"peg-8 ',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"propylene glycol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'ethylhexyl",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"glycerin', 'alcohol",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"alcohol denat',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"alcohol denat',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"alcohol denat',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
bifida ferment,Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"rosa damascena',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'glycereth-26',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"neroli', 'nelumbo",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"alcohol denat',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"butylene glycol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"rosa damascena',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"lavandula angustifolia',",Combination Skin,"A preservative commonly used in skincare products, suitable for oily and combination skin types."
prunus amygdalus,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
